area_name,latitude,longitude,incident_type,date,time
"Main Road, Ranchi",23.363042,85.327753,Health,2024-02-20,02:45:01
Dumka Chowk,24.262412,87.248675,Others,2024-12-20,22:35:38
"Bistupur, Jamshedpur",22.81415,86.197319,Health,2024-01-17,07:00:19
"Main Road, Ranchi",23.36406,85.324825,Crime,2024-03-09,13:10:29
"Steel Gate, Bokaro",23.674414,86.157373,Infrastructure,2024-06-22,00:53:22
"Bistupur, Jamshedpur",22.809868,86.201977,Health,2024-07-02,15:42:00
"Bank More, Dhanbad",23.794139,86.431778,Disaster,2024-12-17,02:32:32
"Katras Road, Dhanbad",23.812607,86.319235,Others,2024-05-20,04:34:03
"Ringle Road, Ranchi",23.342849,85.314478,Traffic,2024-07-03,12:58:01
Dumka Chowk,24.260424,87.251835,Traffic,2024-03-25,07:36:18
"Harmu, Ranchi",23.353989,85.288277,Protest,2024-04-23,20:49:36
"Sakchi, Jamshedpur",22.806576,86.19599,Traffic,2024-05-24,07:02:45
"Katras Road, Dhanbad",23.80448,86.31113,Health,2024-04-11,11:47:30
"Bank More, Dhanbad",23.803682,86.433441,Infrastructure,2024-11-17,13:13:41
"Bistupur, Jamshedpur",22.813559,86.207826,Disaster,2024-05-07,04:01:50
"Ringle Road, Ranchi",23.353844,85.304475,Utility,2024-06-28,10:58:48
"Bank More, Dhanbad",23.801833,86.428267,Traffic,2024-05-18,04:32:49
"Steel Gate, Bokaro",23.663907,86.148625,Traffic,2024-07-15,13:17:40
"Bistupur, Jamshedpur",22.811325,86.193281,Infrastructure,2024-07-23,00:24:25
"Harmu, Ranchi",23.348777,85.290586,Disaster,2024-05-16,01:10:29
"Ringle Road, Ranchi",23.343548,85.302199,Others,2024-07-11,01:49:53
"Katras Road, Dhanbad",23.810559,86.306767,Others,2024-05-20,00:11:36
"Harmu, Ranchi",23.357491,85.302307,Protest,2024-04-23,13:01:43
"Steel Gate, Bokaro",23.663009,86.150665,Utility,2024-05-04,15:46:50
Chaibasa Market,22.553685,85.803602,Others,2024-01-24,14:40:20
"Main Road, Ranchi",23.36873,85.329942,Disaster,2024-04-25,04:38:18
"Harmu, Ranchi",23.359714,85.304377,Traffic,2024-04-26,14:46:34
"Harmu, Ranchi",23.350861,85.288471,Health,2024-10-14,21:19:35
"Main Road, Ranchi",23.378126,85.316604,Crime,2024-03-19,23:15:07
Chaibasa Market,22.552118,85.793747,Infrastructure,2024-02-06,21:27:06
"Ringle Road, Ranchi",23.349378,85.316562,Infrastructure,2024-11-03,16:11:25
"Bank More, Dhanbad",23.791269,86.43438,Utility,2024-05-31,09:10:58
"Main Road, Ranchi",23.378861,85.334071,Crime,2024-12-30,21:09:18
"Steel Gate, Bokaro",23.672506,86.151594,Others,2024-02-09,18:47:21
"Steel Gate, Bokaro",23.675643,86.155245,Utility,2024-05-19,04:33:51
"Bistupur, Jamshedpur",22.808874,86.209259,Disaster,2024-11-20,12:38:59
"Bank More, Dhanbad",23.795869,86.421924,Others,2024-08-26,15:22:17
"Ringle Road, Ranchi",23.339952,85.305305,Health,2024-03-30,10:03:58
"Katras Road, Dhanbad",23.810817,86.319593,Traffic,2024-07-14,19:46:15
"Ringle Road, Ranchi",23.343075,85.307366,Disaster,2024-06-24,11:15:54
Dumka Chowk,24.2715,87.240971,Health,2024-10-02,14:35:21
"Steel Gate, Bokaro",23.676211,86.154791,Others,2024-02-07,01:20:08
Chaibasa Market,22.541312,85.793124,Health,2024-08-31,09:08:58
"Katras Road, Dhanbad",23.820445,86.310372,Health,2024-04-22,17:26:07
"Bank More, Dhanbad",23.794731,86.431347,Disaster,2024-09-27,10:42:36
"Sakchi, Jamshedpur",22.797679,86.192331,Traffic,2024-05-04,00:09:54
"Harmu, Ranchi",23.359779,85.297928,Infrastructure,2024-04-27,07:58:04
"Main Road, Ranchi",23.377127,85.328196,Crime,2024-09-14,21:52:02
"Katras Road, Dhanbad",23.804543,86.321523,Health,2024-06-09,07:45:10
"Ringle Road, Ranchi",23.343016,85.311518,Infrastructure,2024-09-28,23:12:56
"Bistupur, Jamshedpur",22.814547,86.208002,Crime,2024-12-08,03:32:49
"Katras Road, Dhanbad",23.819375,86.305597,Disaster,2024-08-17,16:36:55
Chaibasa Market,22.560036,85.808959,Utility,2024-07-05,01:55:25
"Main Road, Ranchi",23.368017,85.327089,Disaster,2024-05-14,07:48:51
Dumka Chowk,24.265907,87.241243,Disaster,2024-10-14,07:19:46
Chaibasa Market,22.558673,85.806556,Protest,2024-07-29,03:19:32
"Katras Road, Dhanbad",23.809408,86.317049,Traffic,2024-12-22,19:17:43
Dumka Chowk,24.266753,87.243781,Health,2024-08-30,10:23:40
"Harmu, Ranchi",23.360732,85.29689,Crime,2024-06-11,22:25:38
"Bistupur, Jamshedpur",22.814177,86.209928,Infrastructure,2024-09-05,16:12:10
Chaibasa Market,22.553396,85.804503,Crime,2024-04-10,08:27:44
"Ringle Road, Ranchi",23.339023,85.31375,Infrastructure,2024-01-26,08:24:15
Chaibasa Market,22.552212,85.808813,Crime,2024-04-18,16:24:33
"Bistupur, Jamshedpur",22.808582,86.196926,Traffic,2024-03-16,21:07:52
"Bistupur, Jamshedpur",22.804059,86.200297,Disaster,2024-10-12,09:08:14
Chaibasa Market,22.558431,85.801796,Protest,2024-10-21,19:44:57
"Sakchi, Jamshedpur",22.801536,86.195622,Protest,2024-05-17,21:31:27
"Sakchi, Jamshedpur",22.792924,86.194686,Others,2024-06-08,03:09:15
"Katras Road, Dhanbad",23.817991,86.318948,Disaster,2024-01-30,16:40:54
"Steel Gate, Bokaro",23.661159,86.150205,Others,2024-09-21,06:04:50
"Katras Road, Dhanbad",23.810459,86.31779,Infrastructure,2024-05-27,06:43:45
Chaibasa Market,22.545904,85.795544,Infrastructure,2024-07-23,19:15:34
"Main Road, Ranchi",23.364925,85.31854,Others,2024-06-23,10:47:05
Chaibasa Market,22.557815,85.797861,Traffic,2024-05-22,11:16:36
"Bistupur, Jamshedpur",22.812974,86.212278,Health,2024-01-03,17:11:27
"Katras Road, Dhanbad",23.824016,86.312449,Traffic,2024-12-20,15:19:32
Chaibasa Market,22.542849,85.798523,Disaster,2024-03-24,21:52:50
"Harmu, Ranchi",23.345666,85.300036,Utility,2024-01-30,23:40:24
"Steel Gate, Bokaro",23.664983,86.146775,Crime,2024-07-22,12:25:04
"Sakchi, Jamshedpur",22.803351,86.198428,Traffic,2024-09-28,23:27:18
"Sakchi, Jamshedpur",22.800705,86.19398,Protest,2024-07-24,02:19:00
"Main Road, Ranchi",23.365751,85.319388,Protest,2024-05-15,00:34:40
"Harmu, Ranchi",23.359362,85.296731,Infrastructure,2024-05-30,02:19:01
"Katras Road, Dhanbad",23.821399,86.308686,Traffic,2024-07-27,15:01:01
"Katras Road, Dhanbad",23.824268,86.309796,Traffic,2024-08-08,03:39:14
"Main Road, Ranchi",23.367971,85.327922,Infrastructure,2024-01-03,19:37:20
"Bank More, Dhanbad",23.799921,86.421798,Utility,2024-08-10,19:44:59
"Main Road, Ranchi",23.365556,85.324765,Crime,2024-05-20,20:24:09
"Bistupur, Jamshedpur",22.813259,86.211424,Infrastructure,2024-06-28,13:48:40
"Sakchi, Jamshedpur",22.801444,86.207538,Crime,2024-11-07,14:21:10
"Ringle Road, Ranchi",23.353526,85.306672,Utility,2024-01-06,15:37:13
"Steel Gate, Bokaro",23.669081,86.145391,Disaster,2024-01-08,01:58:48
"Sakchi, Jamshedpur",22.79882,86.205069,Crime,2024-06-21,14:43:30
"Katras Road, Dhanbad",23.822153,86.323605,Infrastructure,2024-09-23,02:29:32
"Katras Road, Dhanbad",23.81228,86.312829,Disaster,2024-02-13,20:19:46
"Bank More, Dhanbad",23.792665,86.43481,Disaster,2024-04-17,21:08:43
"Bistupur, Jamshedpur",22.807603,86.204973,Others,2024-12-16,03:52:59
"Katras Road, Dhanbad",23.812994,86.317329,Health,2024-08-21,04:51:43
"Steel Gate, Bokaro",23.668476,86.156298,Others,2024-05-12,03:54:34
"Ringle Road, Ranchi",23.34333,85.311118,Crime,2024-01-24,09:18:34
"Main Road, Ranchi",23.366337,85.326018,Infrastructure,2024-10-19,03:32:26
Dumka Chowk,24.259318,87.257714,Crime,2024-07-30,12:01:33
"Harmu, Ranchi",23.344719,85.295249,Disaster,2024-03-29,05:16:15
"Harmu, Ranchi",23.354027,85.288167,Disaster,2024-11-21,06:36:34
"Sakchi, Jamshedpur",22.796963,86.204805,Infrastructure,2024-01-19,11:15:28
Dumka Chowk,24.274812,87.256093,Others,2024-06-16,09:34:48
"Katras Road, Dhanbad",23.810339,86.324026,Others,2024-05-07,22:49:57
"Bank More, Dhanbad",23.786371,86.435892,Crime,2024-12-24,14:14:58
"Sakchi, Jamshedpur",22.806669,86.210873,Health,2024-04-25,20:05:31
"Harmu, Ranchi",23.35473,85.289937,Infrastructure,2024-03-10,01:15:55
"Bank More, Dhanbad",23.792899,86.429953,Infrastructure,2024-02-04,04:35:52
"Main Road, Ranchi",23.365471,85.328019,Health,2024-07-03,18:33:44
"Bistupur, Jamshedpur",22.80693,86.193194,Traffic,2024-05-15,20:36:57
Dumka Chowk,24.277509,87.24713,Traffic,2024-09-02,11:37:51
"Ringle Road, Ranchi",23.351975,85.310843,Protest,2024-12-18,18:31:36
"Bistupur, Jamshedpur",22.802508,86.201915,Disaster,2024-04-03,11:36:27
"Bistupur, Jamshedpur",22.794722,86.193003,Crime,2024-08-18,07:47:27
Dumka Chowk,24.273791,87.249822,Disaster,2024-05-13,13:45:17
"Sakchi, Jamshedpur",22.800819,86.199051,Protest,2024-08-24,06:03:10
"Katras Road, Dhanbad",23.816557,86.311973,Health,2024-07-01,14:11:01
Chaibasa Market,22.551124,85.809168,Traffic,2024-07-17,02:46:00
"Bistupur, Jamshedpur",22.807718,86.206966,Infrastructure,2024-10-31,11:13:33
"Bank More, Dhanbad",23.799843,86.433264,Utility,2024-03-26,05:12:38
Chaibasa Market,22.542426,85.794835,Protest,2024-07-03,19:33:26
"Main Road, Ranchi",23.370071,85.316951,Others,2024-01-19,15:19:37
"Steel Gate, Bokaro",23.66033,86.156697,Utility,2024-04-25,00:17:52
"Sakchi, Jamshedpur",22.804066,86.212029,Infrastructure,2024-09-06,22:49:42
"Sakchi, Jamshedpur",22.796108,86.210373,Health,2024-09-25,09:32:12
"Ringle Road, Ranchi",23.335457,85.309238,Crime,2024-06-10,23:51:06
"Bistupur, Jamshedpur",22.800174,86.201627,Infrastructure,2024-01-26,22:48:21
"Katras Road, Dhanbad",23.810259,86.314702,Utility,2024-04-05,04:53:04
Dumka Chowk,24.269183,87.241968,Health,2024-10-01,22:43:32
"Steel Gate, Bokaro",23.672336,86.146136,Others,2024-05-03,02:15:00
Chaibasa Market,22.55967,85.808407,Utility,2024-06-17,04:56:55
"Ringle Road, Ranchi",23.33695,85.314798,Disaster,2024-12-08,17:14:39
Chaibasa Market,22.542291,85.7938,Health,2024-07-06,11:10:13
"Steel Gate, Bokaro",23.671842,86.145811,Protest,2024-02-10,10:27:32
"Main Road, Ranchi",23.369352,85.33099,Others,2024-02-06,17:56:00
Dumka Chowk,24.272859,87.255042,Infrastructure,2024-05-17,00:52:34
"Steel Gate, Bokaro",23.676423,86.153353,Utility,2024-12-25,12:38:13
"Ringle Road, Ranchi",23.35207,85.31544,Health,2024-04-03,14:06:06
"Steel Gate, Bokaro",23.662581,86.154995,Infrastructure,2024-08-08,05:55:42
"Bank More, Dhanbad",23.799866,86.425043,Infrastructure,2024-08-29,08:36:37
"Katras Road, Dhanbad",23.822658,86.315635,Health,2024-01-30,09:51:17
"Harmu, Ranchi",23.361659,85.291797,Crime,2024-03-02,17:30:25
Dumka Chowk,24.267938,87.257288,Protest,2024-08-11,14:12:31
"Main Road, Ranchi",23.36282,85.327673,Health,2024-10-09,12:51:36
"Main Road, Ranchi",23.365139,85.315072,Protest,2024-05-30,01:31:37
"Harmu, Ranchi",23.361497,85.292778,Others,2024-07-24,03:15:27
"Bistupur, Jamshedpur",22.813452,86.212407,Traffic,2024-02-23,11:09:10
"Steel Gate, Bokaro",23.663671,86.156716,Crime,2024-04-23,13:12:38
"Bank More, Dhanbad",23.7937,86.425978,Utility,2024-07-06,22:54:37
"Sakchi, Jamshedpur",22.808723,86.194029,Disaster,2024-04-09,23:10:48
